rank,finalWorthInMillions,companyCategory,personName,age,city,source,countryOfCitizenship,selfMade,inherited,gender,birthDate
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,Paris,LVMH,France,False,Yes,M,1949-03-05 00:00:00
2,180000,Automotive,Elon Musk,51.0,Austin,"Tesla, SpaceX",United States,True,No,M,1971-06-28 00:00:00
3,114000,Technology,Jeff Bezos,59.0,Medina,Amazon,United States,True,No,M,1964-01-12 00:00:00
4,107000,Technology,Larry Ellison,78.0,Lanai,Oracle,United States,True,Yes,M,1944-08-17 00:00:00
5,106000,Finance & Investments,Warren Buffett,92.0,Omaha,Berkshire Hathaway,United States,True,No,M,1930-08-30 00:00:00
6,104000,Technology,Bill Gates,67.0,Medina,Microsoft,United States,True,No,M,1955-10-28 00:00:00
7,94500,Media & Entertainment,Michael Bloomberg,81.0,New York,Bloomberg LP,United States,True,Yes,M,1942-02-14 00:00:00
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico City,Telecom,Mexico,True,Yes,M,1940-01-28 00:00:00
9,83400,Diversified,Mukesh Ambani,65.0,Mumbai,Diversified,India,False,No,M,1957-04-19 00:00:00
10,80700,Technology,Steve Ballmer,67.0,Hunts Point,Microsoft,United States,True,No,M,1956-03-24 00:00:00
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,Paris,L'Oréal,France,False,Yes,F,1953-07-10 00:00:00
12,79200,Technology,Larry Page,50.0,Palo Alto,Google,United States,True,No,M,1973-03-26 00:00:00
13,77300,Fashion & Retail,Amancio Ortega,87.0,La Coruna,Zara,Spain,True,Yes,M,1936-03-28 00:00:00
14,76000,Technology,Sergey Brin,49.0,Los Altos,Google,United States,True,No,M,1973-08-21 00:00:00
15,68000,Food & Beverage,Zhong Shanshan,68.0,Hangzhou,"Beverages, pharmaceuticals",China,True,Yes,M,1954-12-01 00:00:00
16,64400,Technology,Mark Zuckerberg,38.0,Palo Alto,Facebook,United States,True,No,M,1984-05-14 00:00:00
17,59000,Diversified,Charles Koch & family,87.0,Wichita,Koch Industries,United States,False,No,M,1935-11-01 00:00:00
17,59000,Diversified,Julia Koch & family,60.0,New York,Koch Industries,United States,False,No,F,1962-04-12 00:00:00
19,58800,Fashion & Retail,Jim Walton,74.0,Bentonville,Walmart,United States,False,No,M,1948-06-07 00:00:00
20,57600,Fashion & Retail,Rob Walton & family,78.0,Bentonville,Walmart,United States,False,No,M,1944-10-27 00:00:00
21,56700,Fashion & Retail,Alice Walton,73.0,Fort Worth,Walmart,United States,False,No,F,1949-10-07 00:00:00
22,54400,Media & Entertainment,David Thomson & family,65.0,Toronto,Media,Canada,False,Yes,M,1957-06-12 00:00:00
23,50100,Technology,Michael Dell,58.0,Austin,Dell Technologies,United States,True,No,M,1965-02-23 00:00:00
24,47200,Diversified,Gautam Adani,60.0,Ahmedabad,"Infrastructure, commodities",India,True,No,M,1962-06-24 00:00:00
25,45100,Fashion & Retail,Phil Knight & family,85.0,Hillsboro,Nike,United States,True,No,M,1938-02-24 00:00:00
26,45000,Technology,Zhang Yiming,39.0,Beijing,TikTok,China,True,No,M,1984-01-01 00:00:00
27,42900,Fashion & Retail,Dieter Schwarz,83.0,Neckarsulm,Retail,Germany,False,No,M,1939-09-24 00:00:00
28,40100,Fashion & Retail,François Pinault & family,86.0,Paris,Luxury goods,France,True,No,M,1936-08-21 00:00:00
29,39100,Logistics,Klaus-Michael Kuehne,85.0,Schindellegi,Shipping,Germany,False,Yes,M,1937-06-02 00:00:00
30,38900,Food & Beverage,Giovanni Ferrero,58.0,Brussels,"Nutella, chocolates",Italy,False,Yes,M,1964-09-21 00:00:00
31,38300,Food & Beverage,Jacqueline Mars,83.0,The Plains,"Candy, pet food",United States,False,Yes,F,1939-10-10 00:00:00
31,38300,Food & Beverage,John Mars,87.0,Jackson,"Candy, pet food",United States,False,Yes,M,1935-10-15 00:00:00
33,38000,Diversified,Li Ka-shing,94.0,,Diversified,Hong Kong,True,Yes,M,1928-06-13 00:00:00
